problem,input,output
problem1,Hello,hELLO
problem1,PYthon,pyTHON
problem1,WORLD,world
problem1,gptChat,GPTcHAT
problem1,abcDEF,ABCdef
problem1,XyZ,xYz
problem1,pythonProgramming,PYTHONpROGRAMMING
problem1,a,A
problem1,Z,z
problem1,mIxEdCaSe,MiXeDcAsE
problem2,"1,2,3,4,5",2
problem2,"10,20,30",3
problem2,"2,4,6,8,10",5
problem2,"1,3,5,7",0
problem2,0,1
problem2,"99,100",1
problem2,"12,13,14,15",2
problem2,"5,10,15,20,25",2
problem2,"7,8,9",1
problem2,100,1
problem3,1,*
problem3,2,"*
**"
problem3,3,"*
**
***"
problem3,4,"*
**
***
****"
problem3,5,"*
**
***
****
*****"
problem3,6,"*
**
***
****
*****
******"
problem3,7,"*
**
***
****
*****
******
*******"
problem3,8,"*
**
***
****
*****
******
*******
********"
problem3,9,"*
**
***
****
*****
******
*******
********
*********"
problem3,10,"*
**
***
****
*****
******
*******
********
*********
**********"
problem4,A,Alphabet
problem4,g,Alphabet
problem4,5,Not Alphabet
problem4,!,Not Alphabet
problem4,Z,Alphabet
problem4,m,Alphabet
problem4,@,Not Alphabet
problem4,1,Not Alphabet
problem4,y,Alphabet
problem4,Q,Alphabet
problem5,10,Even
problem5,7,Odd
problem5,1000,Even
problem5,1,Odd
problem5,2,Even
problem5,3,Odd
problem5,42,Even
problem5,77,Odd
problem5,28,Even
problem5,99,Odd
